Unique,Parcel_ID,Land_Use,Property_Address,Property_City,Sale_Date,Sale_Price,Sold_As_Vacant,Multiple_Parcels_Involved_in_Sale,Acreage,Tax_District,Neighborhood,Land_Value,Building_Value,Total_Value,Finished_Area,Foundation_Type,Year_Built,Exterior_Wall,Grade,Bedrooms,Full_Bath,Half_Bath
56607,176 09 0 003.00,SINGLE FAMILY,4964 HICKORY WOODS  E,ANTIOCH,2016-10-28,236000,f,f,0.23,URBAN SERVICES DISTRICT,6328,25000,159300,184300,3117,SLAB,1995,BRICK/FRAME,C,3,3,0
56614,082 05 0 040.00,SINGLE FAMILY,1625 5TH  AVE N,NASHVILLE,2016-10-28,466000,f,f,0.15,URBAN SERVICES DISTRICT,126,40000,204100,256000,1637,CRAWL,2004,FRAME,B,3,2,1
56615,082 05 0 058.00,SINGLE FAMILY,1614 5TH  AVE N,NASHVILLE,2016-10-26,685000,f,f,0.19,URBAN SERVICES DISTRICT,126,40000,295900,351600,2478,CRAWL,2005,FRAME,B,4,3,1
1,105 11 0 080.00,SINGLE FAMILY,1802  STEWART PL,NASHVILLE,2013-01-11,191500,f,f,0.17,URBAN SERVICES DISTRICT,3127,32000,134400,168300,1149,PT BSMT,1941,BRICK,C,2,1,0
2,118 03 0 130.00,SINGLE FAMILY,2761  ROSEDALE PL,NASHVILLE,2013-01-18,202000,f,f,0.11,CITY OF BERRY HILL,9126,34000,157800,191800,2090.82495,SLAB,2000,BRICK/FRAME,C,3,2,1
3,119 01 0 479.00,SINGLE FAMILY,224  PEACHTREE ST,NASHVILLE,2013-01-18,32000,f,f,0.17,URBAN SERVICES DISTRICT,3130,25000,243700,268700,2145.60001,FULL BSMT,1948,BRICK/FRAME,B,4,2,0
4,119 05 0 186.00,SINGLE FAMILY,316  LUTIE ST,NASHVILLE,2013-01-23,102000,f,f,0.34,URBAN SERVICES DISTRICT,3130,25000,138100,164800,1969,CRAWL,1910,FRAME,C,2,1,0
5,119 05 0 387.00,SINGLE FAMILY,2626  FOSTER AVE,NASHVILLE,2013-01-04,93736,f,f,0.17,URBAN SERVICES DISTRICT,3130,25000,86100,113300,1037,CRAWL,1945,FRAME,C,2,1,0
7,119 13 0 183.00,SINGLE FAMILY,501  MORTON AVE,NASHVILLE,2013-01-15,44000,f,f,0.2,URBAN SERVICES DISTRICT,3179,16000,68100,84300,1216,CRAWL,1932,FRAME,D,2,1,0
8,119 13 0 183.00,SINGLE FAMILY,501  MORTON AVE,NASHVILLE,2013-01-25,49900,f,f,0.2,URBAN SERVICES DISTRICT,3179,16000,68100,84300,1216,CRAWL,1932,FRAME,D,2,1,0
9,119 15 0 158.00,SINGLE FAMILY,113  NEESE DR,NASHVILLE,2013-01-09,25000,f,f,0.4,URBAN SERVICES DISTRICT,3131,25000,57100,88400,1152,CRAWL,1945,FRAME,C,2,1,0
10,133 07 0 195.00,SINGLE FAMILY,184  WHEELER AVE,NASHVILLE,2013-01-18,90000,f,f,0.34,URBAN SERVICES DISTRICT,3131,25000,80100,105100,1300,CRAWL,1955,BRICK,C,2,1,0
11,133 12 0 153.00,SINGLE FAMILY,238  ELYSIAN FIELDS RD,NASHVILLE,2013-01-11,72000,f,f,0.23,URBAN SERVICES DISTRICT,3926,21500,87900,109400,1175,CRAWL,1968,BRICK,C,3,1,1
12,133 12 0 268.00,SINGLE FAMILY,3801  ECKHART DR,NASHVILLE,2013-01-04,120000,f,f,0.29,URBAN SERVICES DISTRICT,3926,21500,107800,129300,1825,SLAB,1978,BRICK,C,7,2,0
14,134 13 0 004.00,SINGLE FAMILY,285  PARAGON MILLS RD,NASHVILLE,2013-01-18,115900,f,f,0.25,URBAN SERVICES DISTRICT,3926,21500,81700,103200,1474,FULL BSMT,1960,BRICK,C,2,1,1
15,134 13 0 077.00,SINGLE FAMILY,259  EISENHOWER DR,NASHVILLE,2013-01-17,120000,f,f,0.27,URBAN SERVICES DISTRICT,3926,21500,92000,116300,1600,SLAB,1962,BRICK,C,4,1,1
16,146 15 0 123.00,SINGLE FAMILY,5100  OVERTON RD,NASHVILLE,2013-01-04,262500,f,f,0.35,URBAN SERVICES DISTRICT,4026,47000,213600,269000,1436,CRAWL,1955,BRICK,C,2,2,0
19,148 01 0 188.00,DUPLEX,281  COMROE RD,NASHVILLE,2013-01-31,112500,f,f,0.27,URBAN SERVICES DISTRICT,3927,28000,71100,99100,1436,CRAWL,1970,BRICK,C,4,2,0
20,148 10 0 051.00,SINGLE FAMILY,3922  CREEKSIDE DR,NASHVILLE,2013-01-08,134000,f,f,0.36,URBAN SERVICES DISTRICT,3927,21000,83100,104300,1455,CRAWL,1958,BRICK,C,3,2,0
